Section data name;Section Widget id;Text Sub id;Text
;0;0;Galbadia
;0;1;Esthar
;0;2;Balamb
;0;3;Dollet
;0;4;Timber
;0;5;Trabia
;0;6;Centra
;0;7;Fisherman's Horizon
;0;8;Este del “jardín”
;0;9;Prisión del desierto
;0;10;Jardín de Trabia
;0;11;Estación Lunaside
;0;12;Pueblo shumi
;0;13;Deling
;0;14;Jardín de Balamb
;0;15;Estación Jardín Este 
;0;16;Estación Dollet
;0;17;Estación Prisión del Desierto
;0;18;Base Lunagate
;0;19;Daña a un enemigo.
;0;20;Daña a todos los enemigos.
;0;21;Causa daño de ELM 
;0;22;Efectúa un ataque
;0;23;elemental
;0;24;enemigo
;0;25;Revista popular entre los fans de las armas.
;0;26;Revista dedicada a nuestros mejores amigos.
;0;27;Enseña a Quistis la magia 
;0;28;Enseña a un G. F. la habilidad 
;0;29;Castillo de Artemisa
;0;30;Jardín
;0;31;Devuelve 
;0;32;Mismo efecto que la magia 
;0;33;Pemite enlazar una magia a
;0;34;Permite utilizar el comando 
;0;35;Aumenta 
;0;36;Transforma objetos en magias 
;0;37;Revista de artes marciales.
;0;38;Restablece la vitalidad.
;0;39;temporalmente
;0;40;Aumenta en 
;0;41; de 
;0;42;Causa 
;0;43;0% la fuerza de la magia del G. F.
;0;44;0% la vitalidad básica del G. F.
;0;45; en un 
;0;46; G. F.
;0;47; magias a la defensa 
;0;48;Transforma magias menores en magias clase +
;0;49;Revista de ocultismo - 
;0;50;el 
;0;51;la 
;0;52;Pemite enlazar 
;0;53; habilidades indiv. o de grupo.
;0;54;0%.
;0;55;VIT
;0;56;Efectúa un ataque especial.
;0;57;Permite aplicar una magia 
