Section data name;Section Widget id;Text Sub id;Text
;0;0;Galbadia
;0;1;Esthar
;0;2;Balamb
;0;3;Dollet
;0;4;Timber
;0;5;Trabia
;0;6;Centra
;0;7;Fisherman{xba}s Horizon
;0;8;Garden-Ost
;0;9;Wüstengefängnis
;0;10;Trabia-Garden
;0;11;Lunarside-Basis
;0;12;Shumi-Dorf
;0;13;Deling-City
;0;14;Balamb-Garden
;0;15;Bahnhof Garden-Ost
;0;16;Bahnhof Dollet
;0;17;Bahnhof Wüstengefängnis
;0;18;Lunar-Gate
;0;19;Angriff auf alle Gegner
;0;20;Angriff auf einen Gegner
;0;21;Angriff auf einen Gegner durch 
;0;22; G.F.: 
;0;23;Quistis lernt [
;0;24;Gibt einer G.F. die Ability [
;0;25;Diese Zeitschrift berichtet über Waffen
;0;26;Zauber
;0;27;Diese Zeitschrift berichtet über Hunde
;0;28;] wird verfügbar
;0;29;Artemisia-Schloß
;0;30;Garden
;0;31;Hat die selbe Wirkung wie [
;0;32;Kopplung möglich
;0;33;Erhöht 
;0;34;Charakter
;0;35;Angriff
;0;36;Eine Zeitschrift für Kampfsprotler
;0;37;Schaden an allen Gegner durch 
;0;38;Magie der G.F. wird um 
;0;39;HP der G.F. wird um 
;0;40;Magazin der Geheimnisse: 
